player_id,draft_round,draft_position,draft_year,position_cleaned,year,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
7200,,,,QB,1989,61,107,930,39.60769231,7,4,13,96,14,91,1,0,0,0,0,0,0,0,0,58.2,15.1,0,0,73.3
7200,,,,QB,1990,55,134,864,47.3875,3,10,9,60,17,90,1,0,0,0,0,0,0,0,0,23.56,15,0,0,38.56
8887,,,,RB,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8887,,,,RB,2009,0,0,0,0,0,0,0,0,41,147,3,7,5,48,0,15,0,0,0,0,32.7,9.8,0,42.5
17633,4,115,1995,TE,1995,0,0,0,0,0,0,0,0,0,0,0,3,1,13,0,26,0,0,0,0,0,2.3,0,2.3
5497,11,160,1966,TE,1967,0,0,0,0,0,0,0,0,0,0,0,0,12,113,0,0,0,0,0,0,0,23.3,0,23.3
5497,11,160,1966,TE,1968,0,0,0,0,0,0,0,0,1,-1,0,0,23,247,2,0,0,0,0,0,-0.1,59.7,0,59.6
5497,11,160,1966,TE,1969,0,0,0,0,0,0,0,0,1,4,0,0,22,203,1,0,0,0,0,0,0.4,48.3,0,48.7
5497,11,160,1966,TE,1970,0,0,0,0,0,0,0,0,0,0,0,0,14,201,0,0,0,0,0,0,0,34.1,0,34.1
5497,11,160,1966,TE,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5171,,,,WR,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15772,3,73,2005,RB,2005,0,0,0,0,0,0,0,0,46,184,2,15,10,87,0,437,0,0,0,0,30.4,18.7,0,49.1
15772,3,73,2005,RB,2006,0,0,0,0,0,0,0,0,96,434,2,19,17,118,0,670,0,0,0,0,55.4,28.8,0,84.2
15772,3,73,2005,RB,2007,0,0,0,0,0,0,0,0,29,108,0,41,32,208,0,0,0,0,0,0,10.8,52.8,0,63.6
16872,,,,WR,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0
16872,,,,WR,1986,0,0,0,0,0,0,0,0,0,0,0,0,25,466,2,0,0,0,0,0,0,83.6,0,83.6
16872,,,,WR,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10840,,,,WR,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
10840,,,,WR,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0
697,,,,RB,1954,0,0,0,0,0,0,0,0,68,176,2,0,4,75,0,0,0,0,0,0,29.6,11.5,0,41.1
697,,,,RB,1955,0,0,0,0,0,0,0,0,77,300,1,0,9,81,1,0,0,0,0,0,36,23.1,0,59.1
697,,,,RB,1956,0,0,0,0,0,0,0,0,63,163,1,0,6,28,0,0,0,0,0,0,22.3,8.8,0,31.1
22935,,,,TE,2007,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,0,0,0,0,0,0,2.4,0,2.4
15855,5,141,1976,RB,1976,0,0,0,0,0,0,0,0,64,292,3,0,8,75,1,181,0,0,0,0,47.2,21.5,0,68.7
15855,5,141,1976,RB,1977,0,0,0,0,0,0,0,0,165,661,8,0,24,222,1,39,0,0,0,0,114.1,52.2,0,166.3
15855,5,141,1976,RB,1978,0,0,0,0,0,0,0,0,174,631,1,0,33,298,1,66,0,0,0,0,69.1,68.8,0,137.9
15855,5,141,1976,RB,1979,0,0,0,0,0,0,0,0,106,387,8,0,35,237,1,0,0,0,0,0,86.7,64.7,0,151.4
15855,5,141,1976,RB,1980,0,0,0,0,0,0,0,0,117,456,6,0,15,110,1,0,0,0,0,0,81.6,32,0,113.6
15855,5,141,1976,RB,1981,0,0,0,0,0,0,0,0,109,417,5,0,19,165,0,0,0,0,0,0,71.7,35.5,0,107.2
15855,5,141,1976,RB,1982,0,0,0,0,0,0,0,0,87,288,4,0,6,40,0,14,0,0,0,0,52.8,10,0,62.8
15855,5,141,1976,RB,1983,0,0,0,0,0,0,0,0,75,257,2,0,14,55,0,0,0,0,0,0,37.7,19.5,0,57.2
15855,5,141,1976,RB,1984,0,0,0,0,0,0,0,0,5,12,1,0,5,20,0,0,0,0,0,0,7.2,7,0,14.2
18955,5,145,2011,RB,2011,0,0,0,0,0,0,0,0,57,205,1,33,25,206,1,0,0,0,0,0,26.5,51.6,0,78.1
18955,5,145,2011,RB,2012,0,0,0,0,0,0,0,0,114,458,1,64,55,410,1,697,0,0,0,0,51.8,102,0,153.8
18955,5,145,2011,RB,2013,0,0,0,0,0,0,0,0,96,332,2,63,52,341,2,575,0,0,0,0,45.2,98.1,0,143.3
18955,5,145,2011,RB,2014,0,0,0,0,0,0,0,0,58,217,1,40,29,173,1,10,0,0,0,0,27.7,52.3,0,80
18955,5,145,2011,RB,2015,0,0,0,0,0,0,0,0,14,41,0,3,1,10,0,15,0,0,0,0,4.1,2,0,6.1
18955,5,145,2011,RB,2016,0,0,0,0,0,0,0,0,129,560,2,16,13,98,0,0,0,0,0,0,68,22.8,0,90.8
18955,5,145,2011,RB,2017,0,0,0,0,0,0,0,0,60,217,1,9,7,54,0,96,0,0,0,0,27.7,12.4,0,40.1
23527,1,22,2012,QB,2012,297,517,3385,73.54,14,17,28,186,27,111,0,1,0,-9,0,0,0,0,0,157.4,11.1,-0.9,0,167.6
23527,1,22,2012,QB,2013,141,267,1731,71.05,9,9,27,180,12,44,0,0,0,0,0,0,0,0,0,78.24,4.4,0,0,82.64
23527,1,22,2012,QB,2014,24,41,303,91.78,3,2,1,9,6,-1,0,0,0,0,0,0,0,0,0,25.12,-0.1,0,0,25.02
23527,1,22,2012,QB,2015,97,140,1043,103.75,5,2,10,77,16,47,1,0,0,0,0,0,0,0,0,57.72,10.7,0,0,68.42
23527,1,22,2012,QB,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9741,3,92,2015,TE,2016,0,0,0,0,0,0,0,0,0,0,0,17,9,141,0,0,0,0,0,0,0,23.1,0,23.1
9741,3,92,2015,TE,2017,0,0,0,0,0,0,0,0,0,0,0,14,6,74,1,0,0,0,0,0,0,19.4,0,19.4
4563,,,,RB,1984,0,0,0,0,0,0,0,0,18,89,0,0,0,0,0,15,0,0,0,0,8.9,0,0,8.9
4563,,,,RB,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18806,,,,WR,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,682,0,167,0,0,0,9.4,0,9.4
18806,,,,WR,1965,0,0,0,0,0,0,0,0,3,30,0,0,16,314,4,588,0,173,0,0,3,71.4,0,74.4
18806,,,,WR,1966,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,454,0,42,0,0,0,3.9,0,3.9
18806,,,,WR,1967,0,0,0,0,0,0,0,0,0,0,0,0,17,384,3,737,1,50,0,0,0,73.4,6,79.4
18806,,,,WR,1969,0,0,0,0,0,0,0,0,0,0,0,0,4,66,0,383,0,32,0,0,0,10.6,0,10.6
18806,,,,WR,1970,0,0,0,0,0,0,0,0,2,15,0,0,27,411,1,0,0,28,0,0,1.5,74.1,0,75.6
9306,4,108,2009,WR,2009,0,0,0,0,0,0,0,0,4,29,1,56,31,506,3,36,0,0,0,0,8.9,99.6,0,108.5
9306,4,108,2009,WR,2010,0,0,0,0,0,0,0,0,2,27,0,73,43,615,1,0,0,0,0,0,2.7,110.5,0,113.2
9306,4,108,2009,WR,2011,0,0,0,0,0,0,0,0,1,9,0,66,35,549,1,0,0,0,0,0,0.9,95.9,0,96.8
9306,4,108,2009,WR,2012,0,0,0,0,0,0,0,0,0,0,0,131,74,1083,1,0,0,0,0,0,0,188.3,0,188.3
9306,4,108,2009,WR,2013,0,0,0,0,0,0,0,0,0,0,0,133,76,1016,4,0,0,0,0,0,0,201.6,0,201.6
9306,4,108,2009,WR,2014,0,0,0,0,0,0,0,0,0,0,0,63,39,474,2,0,0,0,0,0,0,98.4,0,98.4
9306,4,108,2009,WR,2015,0,0,0,0,0,0,0,0,0,0,0,77,46,523,2,0,0,0,0,0,0,110.3,0,110.3
15443,18,218,1953,QB,1953,11,30,113,31.75,2,2,0,0,3,33,0,0,0,0,0,0,0,0,0,12.52,3.3,0,0,15.82
20267,,,,TE,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15817,6,173,2012,RB,2012,0,0,0,0,0,0,0,0,351,1693,13,16,11,77,0,0,0,0,0,0,247.3,18.7,0,266
15817,6,173,2012,RB,2013,0,0,0,0,0,0,0,0,276,1275,7,12,9,78,0,0,0,0,0,0,169.5,16.8,0,186.3
15817,6,173,2012,RB,2014,0,0,0,0,0,0,0,0,265,1074,8,26,17,155,0,0,0,0,0,0,155.4,32.5,0,187.9
15817,6,173,2012,RB,2015,0,0,0,0,0,0,0,0,213,801,1,13,10,55,0,0,0,0,0,0,86.1,15.5,0,101.6
15817,6,173,2012,RB,2016,0,0,0,0,0,0,0,0,69,243,2,6,3,11,0,12,0,0,0,0,36.3,4.1,0,40.4
15817,6,173,2012,RB,2017,0,0,0,0,0,0,0,0,78,423,1,4,2,22,0,0,0,0,0,0,48.3,4.2,0,52.5
8491,6,201,2014,RB,2014,0,1,0,3.6,0,0,0,0,16,42,2,11,7,29,0,0,0,0,0,0,16.2,9.9,0,26.1
2926,3,62,1975,WR,1975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,353,0,93,0,0,0,0,0,0
2926,3,62,1975,WR,1976,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0,4.5,0,4.5
2926,3,62,1975,WR,1977,0,0,0,0,0,0,0,0,0,0,0,0,26,341,1,17,0,0,0,0,0,66.1,0,66.1
2926,3,62,1975,WR,1978,0,0,0,0,0,0,0,0,0,0,0,0,36,575,2,0,0,0,0,0,0,105.5,0,105.5
2926,3,62,1975,WR,1979,0,0,0,0,0,0,0,0,0,0,0,0,46,631,1,0,0,0,0,0,0,115.1,0,115.1
23314,7,213,2008,RB,2008,0,0,0,0,0,0,0,0,4,9,0,1,1,9,0,0,0,0,0,0,0.9,1.9,0,2.8
23314,7,213,2008,RB,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23314,7,213,2008,RB,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23314,7,213,2008,RB,2011,0,0,0,0,0,0,0,0,1,-1,0,3,2,13,0,0,0,0,0,0,-0.1,3.3,0,3.2
9974,3,58,1993,QB,1995,44,80,540,97.2,6,4,3,11,3,5,0,0,0,0,0,0,0,0,0,46.6,0.5,0,0,47.1
9974,3,58,1993,QB,1996,57,104,667,41.425,4,5,9,52,2,13,0,0,0,0,0,0,0,0,0,31.68,1.3,0,0,32.98
9974,3,58,1993,QB,1997,78,161,1024,45.98571429,6,10,6,36,14,43,0,0,0,0,0,0,0,0,0,50.96,4.3,0,0,55.26
9974,3,58,1993,QB,1998,11,23,170,87.2,1,0,2,17,2,13,0,0,0,0,0,0,0,0,0,10.8,1.3,0,0,12.1
9974,3,58,1993,QB,1999,85,159,970,66.34444444,6,6,11,79,12,47,1,0,0,0,0,0,0,0,0,51.8,10.7,0,0,62.5
22010,,,,RB,1982,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.4
22010,,,,RB,1983,0,0,0,0,0,0,0,0,8,25,0,0,2,13,0,0,0,0,0,0,2.5,3.3,0,5.8
22010,,,,RB,1984,0,0,0,0,0,0,0,0,42,193,1,0,10,52,0,0,0,0,0,0,25.3,15.2,0,40.5
22010,,,,RB,1985,0,0,0,0,0,0,0,0,40,143,4,0,6,49,0,0,0,0,0,0,38.3,10.9,0,49.2
22010,,,,RB,1986,0,0,0,0,0,0,0,0,59,242,0,0,4,18,0,15,0,0,0,0,24.2,5.8,0,30
22010,,,,RB,1987,0,0,0,0,0,0,0,0,27,91,1,0,0,0,0,0,0,0,0,0,15.1,0,0,15.1
