player_id,position_cleaned,game_location,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,total_combined_fantasy_points
3203,WR,H,0,0,0,0,0
9485,WR,A,1,1,1,0,1.1
9485,WR,H,0,0,0,0,0
15581,WR,A,17,10,154,1,31.4
15581,WR,H,22,11,200,1,37
9751,WR,A,1,0,0,0,0.3
9751,WR,H,1,1,44,0,5.4
6505,WR,A,5,4,68,1,17.4
6505,WR,H,8,6,92,0,16.2
11731,WR,A,41,17,199,2,48.9
11731,WR,H,20,6,70,0,13
4231,WR,A,15,4,73,0,11.3
4231,WR,H,17,11,133,1,30.3
15286,WR,A,13,8,68,0,14.9
15286,WR,H,6,4,9,1,10.9
4480,WR,A,41,25,438,1,75.4
4480,WR,H,40,26,431,4,94.6
18080,WR,A,3,3,49,0,7.9
18080,WR,H,1,1,11,0,2.1
5742,WR,A,21,12,206,0,32.6
5742,WR,H,19,9,122,4,45.2
3142,WR,A,6,4,138,1,23.8
3142,WR,H,14,9,129,1,27.9
21681,WR,A,2,2,9,0,3.5
21681,WR,H,0,0,0,0,5.9
1960,WR,A,0,0,0,0,0
1960,WR,H,0,0,0,0,0
1488,WR,A,13,7,87,0,15.7
1488,WR,H,11,5,84,1,19.4
19120,WR,A,0,0,0,0,0
19120,WR,H,0,0,0,0,1.2
22498,WR,A,7,1,20,0,3
22498,WR,H,11,4,59,0,10.5
10943,WR,A,0,0,0,0,0
10943,WR,H,0,0,0,0,0
24276,WR,A,26,14,234,1,43.4
24276,WR,H,19,13,206,1,39.6
5086,WR,A,6,3,32,0,6.2
5086,WR,H,5,3,26,0,5.6
3310,WR,A,6,5,42,0,12
3310,WR,H,11,7,49,0,18.4
5316,WR,A,1,1,9,0,2.3
5316,WR,H,1,1,5,0,2.4
18370,WR,A,2,2,21,0,5.8
18370,WR,H,0,0,0,0,0
10639,WR,A,9,4,64,0,10.4
10639,WR,H,17,11,140,0,25
4036,WR,A,5,0,0,0,8.9
4036,WR,H,4,2,33,0,5.3
23158,WR,A,21,14,231,2,49.5
23158,WR,H,29,15,140,1,35
17629,WR,A,0,0,0,0,0
3509,WR,A,2,2,22,0,4.2
3509,WR,H,4,2,21,0,4.1
941,WR,A,48,34,417,2,86.9
941,WR,H,40,24,281,2,64.1
6166,WR,A,0,0,0,0,0
6166,WR,H,0,0,0,0,0
19225,WR,A,3,0,0,0,0
19225,WR,H,12,6,66,0,12.6
6598,WR,A,58,29,433,2,84.3
6598,WR,H,38,22,269,2,60.9
11634,WR,A,58,34,519,1,91.9
11634,WR,H,43,32,520,2,97.5
2589,WR,A,4,3,29,0,5.9
2589,WR,H,8,4,46,0,8.6
23665,WR,A,16,9,76,0,16.6
14205,WR,A,0,0,0,0,0
14205,WR,H,0,0,0,0,0
19868,WR,A,6,3,54,2,20.4
19868,WR,H,6,4,72,1,17.2
9041,WR,A,8,7,74,0,14.4
9041,WR,H,13,8,72,2,27.2
14450,WR,A,11,5,112,0,16.2
14450,WR,H,4,3,32,0,6.2
21992,WR,A,47,31,431,2,87.2
21992,WR,H,60,39,574,1,102.4
317,WR,A,57,33,428,2,88.4
317,WR,H,50,34,499,2,96.2
21799,WR,A,29,24,295,1,59.7
21799,WR,H,54,39,403,2,93.3
22098,WR,A,1,1,12,0,2.2
22098,WR,H,0,0,0,0,0
382,WR,A,26,23,219,1,50.9
382,WR,H,33,21,236,1,50.6
7598,WR,A,40,22,228,0,44.8
7598,WR,H,27,18,272,0,45.2
18781,WR,A,3,1,12,0,2.2
18781,WR,H,1,0,0,0,0
8119,WR,A,27,11,186,0,30.2
8119,WR,H,35,16,392,1,63
11662,WR,A,42,20,357,5,85.7
11662,WR,H,38,24,374,3,79.4
22095,WR,A,56,41,472,2,100.2
22095,WR,H,46,29,333,0,62.3
13318,WR,A,20,12,134,1,31.4
13318,WR,H,17,8,113,1,25.3
16062,WR,H,6,4,62,1,16.2
18621,WR,A,30,16,298,2,57.8
18621,WR,H,26,19,286,3,65.6
4520,WR,A,3,2,13,0,9.3
4520,WR,H,9,5,43,0,9.3
14311,WR,A,16,13,101,1,29.1
14311,WR,H,17,11,167,0,27.7
23533,WR,A,1,1,5,0,1.5
23533,WR,H,1,0,0,0,0
4130,WR,A,25,20,227,1,50.5
4130,WR,H,32,23,236,1,52.7
10756,WR,A,39,24,308,3,73.6
10756,WR,H,40,19,284,0,47.4
16198,WR,A,0,0,0,0,0
16198,WR,H,1,1,-1,0,0.9
60,WR,A,48,30,391,6,105.1
60,WR,H,43,25,311,1,62.1
24195,WR,H,4,3,30,0,6
11706,WR,A,21,12,150,0,27
11706,WR,H,22,12,197,0,31.7
756,WR,A,2,1,7,0,11.3
756,WR,H,14,9,35,0,27.7
17208,WR,A,13,11,49,0,17.1
17208,WR,H,14,10,137,0,46.9
14864,WR,A,4,1,14,0,2.8
14864,WR,H,4,1,0,0,1
7480,WR,A,19,16,199,1,41.7
7480,WR,H,22,12,127,0,26.9
15617,WR,A,12,9,92,1,47.9
15617,WR,H,19,14,81,0,43.7
152,WR,A,18,6,61,0,12.1
152,WR,H,20,8,70,0,15
24731,WR,A,7,4,41,1,14.1
24731,WR,H,10,7,107,1,23.7
2641,WR,A,26,11,174,1,34.4
2641,WR,H,26,14,227,2,48.7
14392,WR,A,0,0,0,0,6.2
14392,WR,H,0,0,0,0,0
23393,WR,A,19,12,237,3,53.7
23393,WR,H,28,16,253,2,53.3
24190,WR,A,5,4,46,0,8.6
24190,WR,H,10,5,38,0,8.8
20002,WR,A,0,0,0,0,0
8113,WR,A,0,0,0,0,0
8113,WR,H,0,0,0,0,0
8279,WR,A,14,12,144,3,44.4
8279,WR,H,27,19,197,0,38.7
8337,WR,A,44,28,386,4,90.6
8337,WR,H,47,25,423,2,79.3
11012,WR,A,43,21,297,3,68.7
11012,WR,H,46,22,322,4,78.2
3826,WR,A,1,1,10,0,2
3826,WR,H,0,0,0,0,0
17083,WR,A,31,19,232,1,48.2
17083,WR,H,26,16,177,0,33.7
13332,WR,A,9,6,68,0,13.6
13332,WR,H,2,1,16,0,2.6
10549,WR,A,25,14,206,0,34.6
10549,WR,H,26,22,240,2,58
10086,WR,A,6,6,77,0,13.7
10086,WR,H,7,6,114,1,23.4
8823,WR,A,1,0,0,0,0
8823,WR,H,4,1,40,1,11
5403,WR,A,22,15,139,0,28.9
5403,WR,H,29,19,187,1,43.7
10016,WR,A,21,14,171,2,43.1
10016,WR,H,33,19,267,3,65.4
18846,WR,A,16,11,119,0,22.9
18846,WR,H,10,4,45,0,8.5
19495,WR,A,38,28,271,4,79.4
19495,WR,H,23,17,181,0,43.54
2084,WR,A,2,0,0,0,0
2084,WR,H,13,7,103,0,17.3
4495,WR,A,45,17,183,1,41.7
4495,WR,H,40,25,316,4,80.6
2304,WR,A,1,0,0,0,0
2304,WR,H,3,3,39,0,6.9
2692,WR,A,1,1,13,0,2.3
2692,WR,H,1,1,14,0,2.4
5642,WR,A,28,16,202,1,43.4
5642,WR,H,32,24,396,4,87
23705,WR,A,4,0,0,0,0
23705,WR,H,8,1,4,0,1.4
1526,WR,A,2,1,12,0,2.2
1526,WR,H,0,0,0,0,0
21278,WR,A,6,3,10,0,5.6
21278,WR,H,3,2,26,0,5.2
18268,WR,A,0,0,0,0,0
18268,WR,H,1,1,12,0,2.1
12701,WR,A,24,18,230,1,47
12701,WR,H,48,28,367,2,76.7
9801,WR,A,26,16,182,0,34.6
9801,WR,H,14,4,32,0,7.2
1727,WR,A,0,0,0,0,0
1727,WR,H,0,0,0,0,0
21796,WR,A,9,3,32,1,12.2
21796,WR,H,1,1,24,0,3.4
343,WR,A,9,4,31,0,7.1
343,WR,H,11,7,136,0,20.6
7207,WR,A,24,14,168,1,36.8
7207,WR,H,19,10,103,2,32.3
4400,WR,A,8,5,89,0,13.9
4400,WR,H,8,6,86,0,14.6
24336,WR,A,14,11,136,2,36.2
24336,WR,H,15,9,121,1,28.1
23690,WR,A,6,4,23,0,6.3
23690,WR,H,0,0,0,0,0
5194,WR,A,14,8,70,0,15
5194,WR,H,25,12,145,0,26.5
2857,WR,A,27,12,161,0,27.2
2857,WR,H,24,15,185,2,47.8
1647,WR,A,1,0,0,0,0
1647,WR,H,2,1,12,0,2.2
4558,WR,A,0,0,0,0,0
4558,WR,H,0,0,0,0,0
18520,WR,A,2,0,0,0,0
18520,WR,H,7,5,65,1,17.5
8269,WR,A,4,2,16,0,3.6
8269,WR,H,2,1,-1,0,0.9
4121,WR,A,8,3,49,0,7.9
4121,WR,H,2,2,13,0,3.3
4853,WR,A,20,14,140,0,28.7
4853,WR,H,52,32,421,1,82.9
2544,WR,A,61,41,598,2,112.8
2544,WR,H,65,39,597,6,134.7
10019,WR,A,0,0,0,0,0
10019,WR,H,0,0,0,0,0
12095,WR,H,0,0,0,0,0
20827,WR,A,30,20,408,3,78.8
20827,WR,H,21,13,160,2,41
12827,WR,A,71,45,333,2,89.6
12827,WR,H,46,30,304,4,84.4
24143,WR,A,8,5,51,0,10.1
24143,WR,H,10,4,33,0,7.3
2848,WR,A,42,24,212,3,63.2
2848,WR,H,60,29,366,1,71.6
7758,WR,A,5,2,27,0,4.7
7758,WR,H,1,1,8,0,1.8
21906,WR,A,24,13,103,0,23.3
21906,WR,H,16,13,136,1,32.6
16277,WR,A,29,18,311,2,62.5
16277,WR,H,16,5,65,0,13.1
6064,WR,A,0,0,0,0,0
6064,WR,H,0,0,0,0,0
18832,WR,A,20,6,123,1,24.3
18832,WR,H,19,8,83,0,16.3
14302,WR,A,1,1,8,0,1.8
14302,WR,H,5,2,17,0,3.7
6967,WR,A,51,32,336,1,71.6
6967,WR,H,55,40,444,3,102.4
17396,WR,A,15,6,48,0,10.8
17396,WR,H,14,1,6,0,1.6
2652,WR,A,30,11,134,1,31.4
2652,WR,H,17,8,137,1,27.7
18833,WR,A,1,1,17,0,2.7
1520,WR,A,29,16,311,2,59.1
1520,WR,H,29,20,226,0,42.6
12147,WR,A,11,9,70,0,16
12147,WR,H,16,13,147,1,33.7
16279,WR,A,23,14,115,1,31.5
16279,WR,H,41,24,278,5,81.8
21249,WR,A,2,1,8,0,1.8
21249,WR,H,0,0,0,0,0
9007,WR,A,0,0,0,0,0
9007,WR,H,0,0,0,0,0
10115,WR,A,11,5,51,0,10.1
10115,WR,H,10,8,69,3,32.9
12943,WR,A,11,7,114,1,24.4
12943,WR,H,10,6,71,0,13.1
14097,WR,A,25,15,122,0,27.2
14097,WR,H,8,3,32,0,6.2
14314,WR,A,31,17,279,1,50.6
14314,WR,H,37,24,347,2,70.7
13473,WR,A,20,11,109,0,24.3
13473,WR,H,35,22,299,0,54.1
10523,WR,A,5,2,12,0,3.2
10523,WR,H,4,1,6,0,1.6
7063,WR,A,3,3,34,0,6.4
7063,WR,H,5,3,21,0,5.1
13822,WR,A,31,21,239,1,50.9
13822,WR,H,21,11,111,2,34.1
