,player_id,weight,current_team,college,draft_team,draft_round,draft_position,draft_year,position_cleaned,year,game_location,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points,height_inches
26531,5616,244.0,Carolina Panthers,Oregon,Baltimore Ravens,3.0,70.0,2010.0,TE,2017,H,11039.1,0,0,0,0.0,0,0,0,0,0,0,0,19,10,103,1,0,0,0,0,0.0,0.0,26.3,0,26.3,76.0
26719,10180,248.0,Atlanta Falcons,Stanford,Atlanta Falcons,3.0,81.0,2016.0,TE,2016,A,8029.642857142857,0,0,0,0.0,0,0,0,0,0,0,0,16,9,157,1,0,0,0,0,0.0,0.0,30.7,0,30.7,75.0
26720,10180,248.0,Atlanta Falcons,Stanford,Atlanta Falcons,3.0,81.0,2016.0,TE,2016,H,8057.6388888888905,0,0,0,0.0,0,0,0,0,0,0,0,14,13,147,2,0,0,0,0,0.0,0.0,39.7,0,39.7,75.0
26721,10180,248.0,Atlanta Falcons,Stanford,Atlanta Falcons,3.0,81.0,2016.0,TE,2016,N,8134.5,0,0,0,0.0,0,0,0,0,0,0,0,6,3,32,1,0,0,0,0,0.0,0.0,12.2,0,12.2,75.0
26722,10180,248.0,Atlanta Falcons,Stanford,Atlanta Falcons,3.0,81.0,2016.0,TE,2017,A,8390.291666666666,0,0,0,0.0,0,0,0,0,0,0,0,19,13,225,2,0,0,0,0,0.0,0.0,47.5,0,47.5,75.0
26723,10180,248.0,Atlanta Falcons,Stanford,Atlanta Falcons,3.0,81.0,2016.0,TE,2017,H,8392.2,0,0,0,0.0,0,0,0,0,0,0,0,29,23,192,1,0,0,0,0,0.0,0.0,48.2,0,48.2,75.0
27263,12747,250.0,None,Illinois,None,0.0,0.0,0.0,TE,2015,A,8497.75,0,0,0,0.0,0,0,0,0,0,0,0,3,3,22,0,0,0,0,0,0.0,0.0,5.2,0,5.2,78.0
27264,12747,250.0,None,Illinois,None,0.0,0.0,0.0,TE,2015,H,8504.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,78.0
27265,12747,250.0,None,Illinois,None,0.0,0.0,0.0,TE,2017,A,9155.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,78.0
27266,12747,250.0,None,Illinois,None,0.0,0.0,0.0,TE,2017,H,9169.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,78.0
28390,21378,249.0,None,Ohio St.,None,0.0,0.0,0.0,TE,2015,A,9567.3,0,0,0,0.0,0,0,0,0,0,0,0,2,2,18,1,0,0,0,0,0.0,0.0,9.8,0,9.8,75.0
28391,21378,249.0,None,Ohio St.,None,0.0,0.0,0.0,TE,2015,H,9586.833333333334,0,0,0,0.0,0,0,0,0,0,0,0,3,3,29,1,0,0,0,0,0.0,0.0,11.9,0,11.9,75.0
28444,4908,249.0,None,Illinois,None,0.0,0.0,0.0,TE,2015,A,10427.0,0,0,0,0.0,0,0,0,0,0,0,0,6,2,23,0,33,0,0,0,0.0,0.0,4.3,0,4.3,76.0
28445,4908,249.0,None,Illinois,None,0.0,0.0,0.0,TE,2015,H,10415.75,0,0,0,0.0,0,0,0,0,0,0,0,8,3,54,0,17,0,0,0,0.0,0.0,8.4,0,8.4,76.0
28446,4908,249.0,None,Illinois,None,0.0,0.0,0.0,TE,2017,A,11162.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,76.0
28447,4908,249.0,None,Illinois,None,0.0,0.0,0.0,TE,2017,H,11158.5,0,0,0,0.0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.0,0.0,1.2,0,1.2,76.0
28452,18736,242.0,Jacksonville Jaguars,Tennessee,Oakland Raiders,6.0,184.0,2013.0,TE,2015,A,9196.625,0,0,0,0.0,0,0,0,0,0,0,0,20,14,149,1,0,0,0,0,0.0,0.0,34.90000000000001,0,34.90000000000001,75.0
28453,18736,242.0,Jacksonville Jaguars,Tennessee,Oakland Raiders,6.0,184.0,2013.0,TE,2015,H,9190.125,0,0,0,0.0,0,0,0,0,0,0,0,26,18,131,0,0,0,0,0,0.0,0.0,31.1,0,31.1,75.0
28454,18736,242.0,Jacksonville Jaguars,Tennessee,Oakland Raiders,6.0,184.0,2013.0,TE,2016,A,9574.92857142857,0,0,0,0.0,0,0,0,0,0,0,0,20,15,131,1,0,0,0,0,0.0,0.0,34.1,0,34.1,75.0
28455,18736,242.0,Jacksonville Jaguars,Tennessee,Oakland Raiders,6.0,184.0,2013.0,TE,2016,H,9564.5,0,0,0,0.0,0,0,0,0,0,0,0,10,7,92,0,0,0,0,0,0.0,0.0,16.2,0,16.2,75.0
28603,21258,255.0,None,California,Tennessee Titans,3.0,85.0,2008.0,TE,2015,A,11394.75,0,0,0,0.0,0,0,0,0,0,0,0,7,5,52,0,0,0,0,0,0.0,0.0,10.2,0,10.2,75.0
