,player_id,year,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
22644,19402,1986,9442.236111111111,0,0,0,0.0,0,0,0,0,0,0,0,0,24,289,0,0,0,0,0,0.0,0.0,52.9,0,52.9
22645,19403,2011,9443.333333333334,0,0,0,0.0,0,0,0,0,0,0,0,8,3,36,0,0,0,0,0,0.0,0.0,6.6,0,6.6
22646,19408,2004,8776.65625,0,0,0,0.0,0,0,0,0,4,19,1,5,1,2,0,1251,0,575,2,0.0,7.9,1.2,12,21.099999999999998
22647,19408,2005,9134.785714285714,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,998,0,401,0,0.0,0.0,0.0,0,0.0
22648,19408,2006,9489.208333333334,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,772,0,307,0,0.0,0.0,0.0,0,0.0
22649,19408,2007,9812.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,140,0,37,0,0.0,0.0,0.0,0,0.0
22650,19408,2008,10182.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,180,0,58,0,0.0,0.0,0.0,0,0.0
22651,19414,2017,7732.694444444444,0,0,0,0.0,0,0,0,0,4,64,0,26,15,115,0,221,0,0,0,0.0,6.4,26.5,0,32.900000000000006
22652,19417,1991,8211.166666666666,0,0,0,0.0,0,0,0,0,2,10,0,0,2,33,0,0,0,0,0,0.0,1.0,5.3,0,6.3
22653,19419,1994,8801.078125,0,0,0,0.0,0,0,0,0,1,1,0,10,8,57,0,6,0,0,0,0.0,0.1,13.700000000000001,0,13.8
22654,19419,1995,9122.8125,0,0,0,0.0,0,0,0,0,0,0,0,3,2,19,0,0,0,0,0,0.0,0.0,3.9,0,3.9
22655,19420,1977,8343.07142857143,0,0,0,0.0,0,0,0,0,0,0,0,0,5,65,0,0,0,0,0,0.0,0.0,11.5,0,11.5
22656,19420,1978,8700.25,0,0,0,0.0,0,0,0,0,0,0,0,0,6,97,0,0,0,0,0,0.0,0.0,15.7,0,15.7
22657,19420,1979,9064.5,0,0,0,0.0,0,0,0,0,0,0,0,0,14,147,0,0,0,0,0,0.0,0.0,28.700000000000003,0,28.700000000000003
22658,19420,1980,9418.95,0,0,0,0.0,0,0,0,0,0,0,0,0,8,110,2,10,0,0,0,0.0,0.0,30.999999999999996,0,30.999999999999996
22659,19427,2009,8407.194444444445,237,432,2983,74.72777777777777,16,22,27,202,42,104,3,0,0,0,0,0,0,0,0,144.32,28.4,0.0,0,172.72
22660,19427,2010,8773.631578947368,332,596,3907,75.9421052631579,22,14,30,190,35,116,3,0,0,0,0,0,0,0,0,230.27999999999997,29.600000000000005,0.0,0,259.88
22661,19427,2011,9126.375,308,543,3474,80.94375000000001,26,18,39,243,37,103,6,0,0,0,0,0,0,0,0,219.96,46.3,0.0,0,266.26
22662,19427,2012,9486.566666666668,246,453,2883,69.96666666666667,13,18,34,209,22,28,0,0,0,0,0,0,0,0,0,123.32,2.8,0.0,0,126.11999999999998
22663,19427,2014,10245.611111111111,198,309,2418,87.27777777777777,14,11,23,151,34,87,1,0,0,0,0,0,0,0,0,135.72,14.7,0.0,0,150.42000000000002
22664,19427,2015,10612.45,59,91,616,49.26,4,4,9,54,6,22,0,0,0,0,0,0,0,0,0,31.64,2.1999999999999997,0.0,0,33.84
22665,19427,2016,10980.875,10,18,93,63.75,0,2,3,25,4,-2,0,0,0,0,0,0,0,0,0,-3.2800000000000002,-0.2,0.0,0,-3.48
22666,19436,2013,8028.1,1,1,21,10.553333333333335,1,0,0,0,2,4,0,87,51,484,1,75,0,140,0,6.84,0.4,105.4,0,112.64
22667,19436,2014,8405.375,0,0,0,0.0,0,0,0,0,0,0,0,7,6,55,0,16,0,227,0,0.0,0.0,11.5,0,11.5
22668,19437,1989,7779.716666666666,0,0,0,0.0,0,0,0,0,280,1470,14,0,24,282,0,118,0,0,0,0.0,231.0,52.19999999999999,0,283.2
22669,19437,1990,8147.1875,0,0,0,0.0,0,0,0,0,255,1304,13,0,36,480,3,0,0,0,0,0.0,208.4,102.0,0,310.40000000000003
22670,19437,1991,8516.338235294117,0,0,0,0.0,0,0,0,0,365,1661,17,0,50,352,1,0,0,0,0,0.0,268.09999999999997,91.2,0,359.29999999999995
22671,19437,1992,8875.0,0,1,0,2.475,0,0,0,0,312,1352,9,40,29,225,1,0,0,0,0,0.0,189.20000000000002,57.49999999999999,0,246.7
22672,19437,1993,9229.166666666666,0,0,0,0.0,0,0,0,0,270,1284,3,51,38,205,0,0,0,0,0,0.0,146.4,58.49999999999999,0,204.90000000000003
22673,19437,1994,9606.735294117647,0,0,0,0.0,0,0,0,0,344,1882,7,70,47,287,1,0,0,0,0,0.0,230.2,81.7,0,311.90000000000003
22674,19437,1995,9971.926470588236,1,2,11,8.947058823529412,0,0,0,0,324,1540,11,73,50,417,1,0,0,0,0,0.44,220.00000000000003,97.7,0,318.13999999999993
22675,19437,1996,10330.375,0,1,0,0.0,0,1,0,0,307,1553,11,32,24,147,0,0,0,0,0,-2.0,221.29999999999998,38.699999999999996,0,258.0
22676,19437,1997,10697.779411764706,0,0,0,0.0,0,0,0,0,353,2118,11,57,38,348,3,0,0,0,0,0.0,277.8,90.8,0,368.59999999999997
22677,19437,1998,11066.5625,0,0,0,0.0,0,0,0,0,343,1491,4,57,37,289,0,0,0,0,0,0.0,173.1,65.9,0,239.0
22678,19441,1968,8102.576923076923,0,0,0,0.0,0,0,0,0,2,3,0,0,40,533,1,0,0,0,0,0.0,0.30000000000000004,99.3,0,99.6
22679,19441,1969,8473.035714285714,0,0,0,0.0,0,0,0,0,1,-8,0,0,42,656,3,0,0,0,0,0.0,-0.8,125.6,0,124.80000000000001
22680,19441,1970,8840.866666666667,0,0,0,0.0,0,0,0,0,0,0,0,0,40,544,6,0,0,0,0,0.0,0.0,130.4,0,130.4
22681,19441,1971,9198.711538461539,0,0,0,0.0,0,0,0,0,0,0,0,0,31,502,5,0,0,0,0,0.0,0.0,111.2,0,111.2
22682,19441,1972,9582.277777777777,0,0,0,0.0,0,0,0,0,0,0,0,0,27,416,2,0,0,0,0,0.0,0.0,80.6,0,80.6
22683,19441,1973,9929.035714285714,0,0,0,0.0,0,0,0,0,1,-1,0,0,28,433,2,0,0,0,0,0.0,-0.1,83.30000000000001,0,83.2
22684,19441,1974,10293.357142857143,0,0,0,0.0,0,0,0,0,0,0,0,0,42,532,3,0,0,0,0,0.0,0.0,113.20000000000002,0,113.20000000000002
22685,19441,1975,10664.326923076924,0,0,0,0.0,0,0,0,0,0,0,0,0,37,486,3,0,0,0,0,0.0,0.0,103.6,0,103.6
22686,19441,1976,11021.5,0,0,0,0.0,0,0,0,0,0,0,0,0,35,545,5,0,0,0,0,0.0,0.0,119.5,0,119.5
22687,19441,1977,11378.25,0,0,0,0.0,0,0,0,0,0,0,0,0,14,170,1,0,0,0,0,0.0,0.0,37.0,0,37.0
22688,19442,1995,8575.625,0,0,0,0.0,0,0,0,0,2,-19,0,87,35,823,9,0,0,0,0,0.0,-1.9,171.29999999999998,0,169.39999999999998
22689,19442,1996,8940.1875,0,0,0,0.0,0,0,0,0,0,0,0,105,48,882,4,0,0,0,0,0.0,0.0,160.2,0,160.2
22690,19442,1997,9302.783333333333,0,0,0,0.0,0,0,0,0,1,-8,0,64,31,498,3,0,0,0,0,0.0,-0.8,98.80000000000003,0,98.00000000000003
22691,19442,1998,9668.038461538461,0,0,0,0.0,0,0,0,0,1,-9,0,20,5,136,0,0,0,0,0,0.0,-0.9,18.599999999999998,0,17.7
22692,19442,1999,10059.95,0,0,0,0.0,0,0,0,0,0,0,0,55,23,385,1,0,0,0,0,0.0,0.0,67.5,0,67.5
22693,19442,2000,10407.764705882353,0,0,0,0.0,0,0,0,0,0,0,0,61,33,536,0,0,0,0,0,0.0,0.0,86.6,0,86.6
22694,19442,2001,10735.5,0,0,0,0.0,0,0,0,0,0,0,0,18,5,74,0,0,0,0,0,0.0,0.0,12.399999999999999,0,12.399999999999999
22695,19444,1986,8229.0,0,0,0,0.0,0,0,0,0,4,12,0,0,2,19,0,148,0,0,0,0.0,1.2000000000000002,3.9,0,5.1
22696,19444,1987,8577.75,0,0,0,0.0,0,0,0,0,11,65,1,0,1,11,0,0,0,0,0,0.0,12.5,2.1,0,14.600000000000001
22697,19446,2002,8649.295454545454,0,0,0,0.0,0,0,0,0,0,0,0,6,4,25,1,0,0,0,0,0.0,0.0,12.5,0,12.5
22698,19446,2003,8997.0625,0,0,0,0.0,0,0,0,0,0,0,0,21,15,95,1,0,0,0,0,0.0,0.0,30.500000000000004,0,30.500000000000004
22699,19446,2004,9356.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
22700,19449,2010,8661.0625,0,0,0,0.0,0,0,0,0,0,0,0,63,35,467,2,628,0,60,0,0.0,0.0,93.70000000000002,0,93.70000000000002
22701,19449,2011,8994.0,1,1,15,9.891666666666667,0,0,0,0,0,0,0,51,28,369,2,93,0,22,0,0.6,0.0,76.89999999999999,0,77.5
22702,19449,2012,9366.3125,0,0,0,0.0,0,0,0,0,1,4,0,75,44,626,1,27,0,93,0,0.0,0.4,112.6,0,113.0
22703,19449,2013,9730.125,0,0,0,0.0,0,0,0,0,1,25,0,113,67,740,6,268,0,0,0,0.0,2.5,177.0,0,179.5
22704,19449,2014,10098.808823529413,0,0,0,0.0,0,0,0,0,8,44,0,156,108,1450,9,54,0,11,0,0.0,4.4,307.0,0,311.40000000000003
22705,19449,2015,10477.111111111111,0,0,0,0.0,0,0,0,0,3,29,0,160,92,1365,6,13,0,103,0,0.0,2.9,264.5,0,267.40000000000003
22706,19449,2016,10826.0625,0,0,0,0.0,0,0,0,0,1,4,0,137,79,1032,5,0,0,0,0,0.0,0.4,212.2,0,212.59999999999997
22707,19449,2017,11173.722222222223,0,0,0,0.0,0,0,0,0,0,0,0,72,37,460,2,0,0,-2,0,0.0,0.0,95.0,0,95.0
22708,19451,1995,8289.75,0,0,0,0.0,0,0,0,0,1,1,0,109,52,883,2,0,0,0,0,0.0,0.1,152.3,0,152.4
22709,19451,1996,8655.0625,0,0,0,0.0,0,0,0,0,2,-4,0,130,69,813,4,0,0,0,0,0.0,-0.4,174.3,0,173.9
22710,19451,1997,9019.1875,1,1,26,7.41875,0,0,0,0,1,5,0,143,75,1017,4,0,0,0,0,1.04,0.5,200.7,0,202.24
22711,19451,1998,9395.972222222223,0,0,0,0.0,0,0,0,0,4,0,0,156,96,1247,3,0,0,0,0,0.0,-8.326672684688674e-17,238.7,0,238.7
