,player_id,weight,draft_round,draft_position,draft_year,game_location,position_cleaned,height_inches,year,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
337,11975,212,0,0,0,H,WR,73,2017,10119.25,0,0,0,0.0,0,0,0,0,0,0,0,36,22,295,1,0,0,0,0,0.0,0.0,57.5,0,57.5
346,11664,235,3,95,2015,A,RB,73,2017,8988.0,0,0,0,0.0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0.0,1.1,0.0,0,1.1
347,11664,235,3,95,2015,H,RB,73,2017,8967.0,0,0,0,0.0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0,0.3
354,9863,229,0,0,0,A,TE,77,2017,10010.08333,0,0,0,0.0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0.0,0.0,2.1,0,2.1
355,9863,229,0,0,0,H,TE,77,2017,10017.15,0,0,0,0.0,0,0,0,0,1,-8,0,8,7,61,1,0,0,0,0,0.0,-0.8,19.1,0,18.3
360,6211,250,1,10,2014,A,TE,76,2017,8957.2,0,0,0,0.0,0,0,0,0,0,0,0,23,15,162,1,0,0,0,0,0.0,0.0,37.2,0,37.2
361,6211,250,1,10,2014,H,TE,76,2017,8957.0,0,0,0,0.0,0,0,0,0,0,0,0,27,13,155,1,0,0,0,0,0.0,0.0,34.5,0,34.5
366,12762,208,3,78,2010,A,WR,74,2017,11311.95833,0,0,0,0.0,0,0,0,0,0,0,0,29,18,210,2,0,0,0,0,0.0,0.0,51.0,0,51.0
367,12762,208,3,78,2010,H,WR,74,2017,11299.15,0,0,0,0.0,0,0,0,0,0,0,0,31,19,163,0,0,0,0,0,0.0,0.0,35.3,0,35.3
368,20672,248,3,100,2017,A,TE,75,2017,8094.833333,0,0,0,0.0,0,0,0,0,0,0,0,13,9,73,1,0,0,0,0,0.0,0.0,22.3,0,22.3
369,20672,248,3,100,2017,H,TE,75,2017,8088.3,0,0,0,0.0,0,0,0,0,0,0,0,10,4,54,1,0,0,0,0,0.0,0.0,15.4,0,15.4
374,7476,235,1,10,2011,A,QB,77,2017,10262.0,22,34,257,92.4,3,2,2,13,3,13,0,0,0,0,0,0,0,0,0,22.28,1.3,0.0,0,23.58
375,7476,235,1,10,2011,H,QB,77,2017,10269.0,22,38,241,83.3,2,1,1,5,6,17,0,0,0,0,0,0,0,0,0,18.64,1.7,0.0,0,20.34
379,14721,230,0,0,0,A,WR,78,2017,9029.833333,0,1,0,0.0,0,1,0,0,0,0,0,3,2,31,0,0,0,0,0,-2.0,0.0,5.1,0,3.1
380,14721,230,0,0,0,H,WR,78,2017,9033.8,0,0,0,0.0,0,0,0,0,0,0,0,5,2,63,0,0,0,0,0,0.0,0.0,8.3,0,8.3
381,8858,235,0,0,0,A,RB,71,2017,8860.4,0,0,0,0.0,0,0,0,0,3,4,1,2,1,11,0,0,0,0,0,0.0,6.4,2.1,0,8.5
382,8858,235,0,0,0,H,RB,71,2017,8846.5,0,0,0,0.0,0,0,0,0,3,8,0,2,2,24,0,0,0,0,0,0.0,0.8,4.4,0,5.2
388,23495,220,6,199,2010,A,WR,76,2017,11300.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
389,23495,220,6,199,2010,H,WR,76,2017,11291.1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
392,18987,180,0,0,0,A,WR,73,2017,8688.75,0,0,0,0.0,0,0,0,0,0,0,0,4,3,26,0,0,0,0,0,0.0,0.0,5.6,0,5.6
393,18987,180,0,0,0,H,WR,73,2017,8702.416667,0,0,0,0.0,0,0,0,0,1,3,0,12,11,159,1,0,0,17,0,0.0,0.3,32.9,0,33.2
401,7916,178,1,9,2007,A,WR,71,2017,11875.33333,0,0,0,0.0,0,0,0,0,3,29,0,29,23,337,1,0,0,64,0,0.0,2.9,62.7,0,65.6
402,7916,178,1,9,2007,H,WR,71,2017,11882.4,0,0,0,0.0,0,0,0,0,2,-9,0,25,19,304,2,56,0,39,0,0.0,-0.9,61.4,0,60.5
407,9153,230,0,0,0,A,TE,79,2017,9573.5,0,0,0,0.0,0,0,0,0,0,0,0,10,7,52,1,0,0,0,0,0.0,0.0,18.2,0,18.2
408,9153,230,0,0,0,H,TE,79,2017,9577.7,0,0,0,0.0,0,0,0,0,0,0,0,9,2,33,0,0,0,0,0,0.0,0.0,5.3,0,5.3
413,1524,172,4,100,2012,A,WR,70,2017,10158.41667,0,0,0,0.0,0,0,0,0,5,47,0,23,13,175,2,0,0,40,0,0.0,4.7,42.5,0,47.2
414,1524,172,4,100,2012,H,WR,70,2017,10147.55,0,0,0,0.0,0,0,0,0,3,20,0,15,10,200,1,0,0,126,1,0.0,2.0,36.0,6,44.0
419,21460,215,3,70,2015,A,WR,75,2017,8632.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
424,16905,240,2,57,2012,A,QB,79,2017,9844.5,19,38,208,53.4,1,2,3,17,0,0,0,0,0,0,0,0,0,0,0,7.32,0.0,0.0,0,7.32
425,16905,240,2,57,2012,H,QB,79,2017,9844.5,43,79,493,68.76666667,2,2,3,25,6,22,0,0,0,0,0,0,0,0,0,24.72,2.2,0.0,0,26.92
426,14460,202,1,8,2017,A,RB,71,2017,7801.416667,0,0,0,0.0,0,0,0,0,40,145,0,41,28,222,1,58,0,84,0,0.0,14.5,56.2,0,70.7
427,14460,202,1,8,2017,H,RB,71,2017,7799.85,0,0,0,0.0,0,0,0,0,36,123,2,43,31,246,2,0,0,78,0,0.0,24.3,67.6,0,91.9
432,6999,250,2,34,2012,A,TE,78,2017,10618.54167,0,0,0,0.0,0,0,0,0,0,0,0,17,11,126,1,0,0,0,0,0.0,0.0,29.6,0,29.6
433,6999,250,2,34,2012,H,TE,78,2017,10625.6,0,0,0,0.0,0,0,0,0,0,0,0,13,11,169,1,0,0,0,0,0.0,0.0,33.9,0,33.9
438,600,253,6,192,2017,A,RB,74,2017,8547.083333,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
439,600,253,6,192,2017,H,RB,74,2017,8558.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
444,20698,269,5,159,2011,A,TE,78,2017,10913.25,0,0,0,0.0,0,0,0,0,0,0,0,5,3,36,0,0,0,0,0,0.0,0.0,6.6,0,6.6
445,20698,269,5,159,2011,H,TE,78,2017,10927.95833,0,0,0,0.0,0,0,0,0,0,0,0,2,2,21,0,0,0,0,0,0.0,0.0,4.1,0,4.1
450,4469,235,3,89,2009,A,TE,76,2017,11141.5,0,0,0,0.0,0,0,0,0,0,0,0,33,24,328,1,0,0,0,0,0.0,0.0,62.8,0,62.8
451,4469,235,3,89,2009,H,TE,76,2017,11156.16667,0,0,0,0.0,0,0,0,0,0,0,0,32,18,208,0,0,0,0,0,0.0,0.0,38.8,0,38.8
464,5,195,5,176,2014,A,WR,73,2017,9801.166667,0,0,0,0.0,0,0,0,0,0,0,0,4,1,7,0,0,0,0,0,0.0,0.0,1.7,0,1.7
465,5,195,5,176,2014,H,WR,73,2017,9802.0,0,0,0,0.0,0,0,0,0,0,0,0,3,2,37,0,0,0,0,0,0.0,0.0,5.7,0,5.7
470,8152,215,3,65,2005,A,RB,69,2017,12569.9,0,0,0,0.0,0,0,0,0,65,270,0,15,13,107,0,0,0,0,0,0.0,27.0,23.7,0,50.7
471,8152,215,3,65,2005,H,RB,69,2017,12576.0,0,0,0,0.0,0,0,0,0,96,301,3,13,7,62,0,0,0,0,0,0.0,48.1,13.2,0,61.3
474,17239,225,5,155,2011,A,WR,73,2017,10303.6,0,0,0,0.0,0,0,0,0,1,5,0,7,6,55,0,0,0,0,0,0.0,0.5,11.5,0,12.0
475,17239,225,5,155,2011,H,WR,73,2017,10293.4,0,0,0,0.0,0,0,0,0,1,-1,0,6,4,13,0,0,0,0,0,0.0,-0.1,5.3,0,5.2
476,1313,245,0,0,0,A,TE,78,2017,8700.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
497,1999,212,4,136,2016,A,RB,71,2017,9293.5,0,0,0,0.0,0,0,0,0,20,78,1,12,10,67,0,120,0,0,0,0.0,13.8,16.7,0,30.5
498,1999,212,4,136,2016,H,RB,71,2017,9284.5,0,0,0,0.0,0,0,0,0,26,84,0,13,10,137,0,107,0,0,0,0.0,8.4,23.7,0,32.1
501,13751,215,1,12,2007,A,RB,71,2017,11486.5,0,0,0,0.0,0,0,0,0,47,163,2,6,4,30,0,0,0,0,0,0.0,28.3,7.0,0,35.3
502,13751,215,1,12,2007,H,RB,71,2017,11506.41667,0,0,0,0.0,0,0,0,0,76,294,3,10,6,67,0,0,0,0,0,0.0,47.4,12.7,0,60.1
507,10191,214,1,27,2013,A,WR,73,2017,9268.85,0,0,0,0.0,0,0,0,0,0,0,0,56,36,609,1,0,0,0,0,0.0,0.0,102.9,0,102.9
508,10191,214,1,27,2013,H,WR,73,2017,9262.25,0,0,0,0.0,0,0,0,0,0,0,0,69,33,395,8,0,0,0,0,0.0,0.0,120.5,0,120.5
517,24421,203,3,75,2012,A,QB,71,2017,10548.83333,136,218,1529,95.81666667,12,2,13,90,28,136,1,0,0,0,0,0,0,0,0,116.16,19.6,0.0,0,135.76
518,24421,203,3,75,2012,H,QB,71,2017,10552.8,120,193,1500,93.42,11,6,13,73,37,265,2,0,0,0,0,0,0,0,0,101.0,38.5,0.0,0,139.5
521,18994,187,0,0,0,A,WR,70,2017,9059.2,0,0,0,0.0,0,0,0,0,0,0,0,6,3,13,0,0,0,47,0,0.0,0.0,4.3,0,4.3
522,18994,187,0,0,0,H,WR,70,2017,9075.25,0,0,0,0.0,0,0,0,0,0,0,0,16,8,74,0,0,0,-1,0,0.0,0.0,15.4,0,15.4
530,4032,245,6,174,2011,A,TE,75,2017,10476.6,0,0,0,0.0,0,0,0,0,0,0,0,21,17,253,0,0,0,0,0,0.0,0.0,42.3,0,42.3
531,4032,245,6,174,2011,H,TE,75,2017,10461.66667,0,0,0,0.0,0,0,0,0,0,0,0,18,12,105,2,0,0,0,0,0.0,0.0,34.5,0,34.5
534,11355,204,0,0,0,A,WR,73,2017,8467.5,0,0,0,0.0,0,0,0,0,0,0,0,2,1,16,0,0,0,0,0,0.0,0.0,2.6,0,2.6
535,11355,204,0,0,0,H,WR,73,2017,8474.75,0,0,0,0.0,0,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0.0,0.0,1.6,0,1.6
549,11999,209,0,0,0,A,QB,74,2017,10841.65,106,160,1181,100.62,9,3,5,32,11,41,1,0,0,0,0,0,0,0,0,90.24,10.1,0.0,0,100.34
550,11999,209,0,0,0,H,QB,74,2017,10833.65,112,170,1295,93.24,5,2,2,22,12,62,0,0,0,0,0,0,0,0,0,75.8,6.2,0.0,0,82.0
557,16086,214,3,71,2011,A,RB,72,2017,10842.58333,0,0,0,0.0,0,0,0,0,68,192,1,23,18,105,0,0,0,0,0,0.0,25.2,28.5,0,53.7
558,16086,214,3,71,2011,H,RB,72,2017,10836.05,0,0,0,0.0,0,0,0,0,61,260,4,14,13,120,1,0,0,0,0,0.0,50.0,31.0,0,81.0
561,14900,193,0,0,0,A,WR,71,2017,8782.6875,0,0,0,0.0,0,0,0,0,14,58,0,19,13,103,0,0,0,0,0,0.0,5.8,23.3,0,29.1
562,14900,193,0,0,0,H,WR,71,2017,8780.1875,0,0,0,0.0,0,0,0,0,18,86,1,12,9,70,1,0,0,0,0,0.0,14.6,22.0,0,36.6
571,18654,201,6,199,2013,A,RB,70,2017,9663.7,0,0,0,0.0,0,0,0,0,29,78,0,18,14,136,0,0,0,0,0,0.0,7.8,27.6,0,35.4
572,18654,201,6,199,2013,H,RB,70,2017,9663.5,0,0,0,0.0,0,0,0,0,16,83,0,28,20,156,2,0,0,0,0,0.0,8.3,47.6,0,55.9
577,5035,215,2,35,2011,A,QB,74,2017,10952.70833,108,165,1193,105.13333329999999,13,2,15,115,16,38,0,0,0,0,0,0,0,0,0,106.72,3.8,0.0,0,110.52
578,5035,215,2,35,2011,H,QB,74,2017,10939.95,93,159,1179,80.4,5,6,13,72,15,45,0,0,0,0,0,0,0,0,0,52.16,4.5,0.0,0,56.66
585,23085,241,6,175,2006,A,TE,73,2017,12122.58333,0,0,0,0.0,0,0,0,0,1,1,1,40,27,355,1,0,0,0,0,0.0,6.1,68.5,0,74.6
586,23085,241,6,175,2006,H,TE,73,2017,12116.05,0,0,0,0.0,0,0,0,0,1,-3,0,37,26,258,0,0,0,0,0,0.0,-0.3,51.8,0,51.5
593,137,190,1,20,2015,A,WR,73,2017,8901.0,0,0,0,0.0,0,0,0,0,0,0,0,27,15,206,3,0,0,0,0,0.0,0.0,53.6,0,53.6
594,137,190,1,20,2015,H,WR,73,2017,8919.5,0,0,0,0.0,0,0,0,0,0,0,0,26,18,252,3,0,0,0,0,0.0,0.0,61.2,0,61.2
600,19319,217,1,3,2008,A,QB,76,2017,11842.66667,129,192,1610,102.9666667,10,4,9,64,17,75,0,0,0,0,0,0,0,0,0,107.4,7.5,0.0,0,114.9
601,19319,217,1,3,2008,H,QB,76,2017,11844.6,115,169,1274,94.44,6,4,7,49,3,17,0,0,0,0,0,0,0,0,0,71.96,1.7,0.0,0,73.66
604,8974,202,4,141,2017,A,WR,74,2017,8298.5,0,0,0,0.0,0,0,0,0,0,0,0,4,3,33,0,0,0,0,0,0.0,0.0,6.3,0,6.3
605,8974,202,4,141,2017,H,WR,74,2017,8317.5,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
614,4700,215,1,10,2009,A,WR,74,2017,10983.1875,0,0,0,0.0,0,0,0,0,0,0,0,24,15,213,0,0,0,0,0,0.0,0.0,36.3,0,36.3
615,4700,215,1,10,2009,H,WR,74,2017,10996.16667,0,0,0,0.0,0,0,0,0,0,0,0,42,27,289,6,0,0,0,0,0.0,0.0,91.9,0,91.9
621,309,220,4,125,2015,A,RB,73,2017,9545.5,0,0,0,0.0,0,0,0,0,66,208,1,32,25,107,1,0,0,0,0,0.0,26.8,41.7,0,68.5
622,309,220,4,125,2015,H,RB,73,2017,9547.9,0,0,0,0.0,0,0,0,0,48,192,1,20,16,93,1,0,0,0,0,0.0,25.2,31.3,0,56.5
627,22694,262,0,0,0,A,TE,74,2017,9444.75,0,0,0,0.0,0,0,0,0,0,0,0,6,4,38,0,0,0,0,0,0.0,0.0,7.8,0,7.8
628,22694,262,0,0,0,H,TE,74,2017,9455.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
632,22398,263,0,0,0,A,TE,78,2017,9305.5,0,0,0,0.0,0,0,0,0,0,0,0,4,4,85,0,0,0,0,0,0.0,0.0,12.5,0,12.5
633,22398,263,0,0,0,H,TE,78,2017,9319.25,0,0,0,0.0,0,0,0,0,0,0,0,5,2,26,1,0,0,0,0,0.0,0.0,10.6,0,10.6
638,12749,231,2,61,2013,A,RB,71,2017,9785.25,0,0,0,0.0,0,0,0,0,42,102,0,5,5,33,0,0,0,0,0,0.0,10.2,8.3,0,18.5
639,12749,231,2,61,2013,H,RB,71,2017,9797.75,0,0,0,0.0,0,0,0,0,26,74,0,1,1,14,0,0,0,0,0,0.0,7.4,2.4,0,9.8
651,20801,205,2,58,2011,A,WR,73,2017,10480.0,0,0,0,0.0,0,0,0,0,0,0,0,20,10,139,1,0,0,0,0,0.0,0.0,29.9,0,29.9
652,20801,205,2,58,2011,H,WR,73,2017,10498.5,0,0,0,0.0,0,0,0,0,1,-3,0,18,12,140,1,0,0,9,0,0.0,-0.3,32.0,0,31.7
658,3655,230,7,230,2005,A,QB,77,2017,12930.08333,25,42,162,31.26666667,1,2,8,30,0,0,0,0,0,0,0,0,0,0,0,0.48,0.0,0.0,0,0.48
661,17276,208,7,241,2016,A,WR,74,2017,9098.5,0,0,0,0.0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0.0,0.0,1.3,0,1.3
662,17276,208,7,241,2016,H,WR,74,2017,9109.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
667,22075,251,4,129,2011,A,TE,76,2017,10707.75,0,0,0,0.0,0,0,0,0,0,0,0,27,18,126,1,0,0,0,0,0.0,0.0,36.6,0,36.6
668,22075,251,4,129,2011,H,TE,76,2017,10710.65,0,0,0,0.0,0,0,0,0,0,0,0,24,16,216,1,0,0,0,0,0.0,0.0,43.6,0,43.6
679,11877,214,3,67,2017,A,RB,70,2017,8118.833333,0,0,0,0.0,0,0,0,0,40,330,3,39,33,279,2,49,0,0,0,0.0,51.0,72.9,0,123.9
680,11877,214,3,67,2017,H,RB,70,2017,8125.9,0,0,0,0.0,0,0,0,0,37,216,2,29,22,269,2,71,0,0,0,0.0,33.6,60.9,0,94.5
684,21932,242,6,198,2015,A,TE,75,2017,9287.45,0,0,0,0.0,0,0,0,0,0,0,0,2,2,24,0,0,0,0,0,0.0,0.0,4.4,0,4.4
685,21932,242,6,198,2015,H,TE,75,2017,9283.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
690,17993,254,6,211,2014,A,RB,73,2017,9211.85,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
691,17993,254,6,211,2014,H,RB,73,2017,9205.25,0,0,0,0.0,0,0,0,0,0,0,0,2,2,19,0,0,0,0,0,0.0,0.0,3.9,0,3.9
700,21034,181,4,130,2005,A,RB,66,2017,12504.0,0,0,0,0.0,0,0,0,0,12,50,0,12,7,73,0,0,0,10,0,0.0,5.0,14.3,0,19.3
701,21034,181,4,130,2005,H,RB,66,2017,12514.5,0,0,0,0.0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0.0,1.1,0.0,0,1.1
704,10179,271,5,132,2010,A,TE,75,2017,10696.58333,0,0,0,0.0,0,0,0,0,0,0,0,4,2,17,0,0,0,0,0,0.0,0.0,3.7,0,3.7
705,10179,271,5,132,2010,H,TE,75,2017,10703.65,0,0,0,0.0,0,0,0,0,0,0,0,4,3,35,1,0,0,0,0,0.0,0.0,12.5,0,12.5
711,434,229,6,213,2005,H,QB,78,2017,12544.5,2,7,17,19.8,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0.68,-0.2,0.0,0,0.48
715,2677,224,0,0,0,A,RB,71,2017,8921.333333,0,0,0,0.0,0,0,0,0,19,74,0,1,1,14,0,0,0,0,0,0.0,7.4,2.4,0,9.8
716,2677,224,0,0,0,H,RB,71,2017,8903.25,0,0,0,0.0,0,0,0,0,18,64,1,4,4,32,0,0,0,0,0,0.0,12.4,7.2,0,19.6
717,19414,196,2,40,2017,A,WR,71,2017,7730.0,0,0,0,0.0,0,0,0,0,1,11,0,6,3,35,0,110,0,0,0,0.0,1.1,6.5,0,7.6
718,19414,196,2,40,2017,H,WR,71,2017,7734.85,0,0,0,0.0,0,0,0,0,3,53,0,20,12,80,0,111,0,0,0,0.0,5.3,20.0,0,25.3
721,484,190,0,0,0,A,WR,75,2017,8918.0,0,0,0,0.0,0,0,0,0,0,0,0,29,15,186,2,0,0,0,0,0.0,0.0,45.6,0,45.6
722,484,190,0,0,0,H,WR,75,2017,8931.5,0,0,0,0.0,0,0,0,0,1,1,0,45,26,528,5,0,0,0,0,0.0,0.1,108.8,0,108.9
727,24257,208,3,74,2013,A,WR,74,2017,10264.2,0,0,0,0.0,0,0,0,0,0,0,0,19,10,109,0,0,0,0,0,0.0,0.0,20.9,0,20.9
728,24257,208,3,74,2013,H,WR,74,2017,10276.14286,0,0,0,0.0,0,0,0,0,1,6,0,40,31,367,0,0,0,0,0,0.0,0.6,67.7,0,68.3
734,22029,229,1,22,2010,A,WR,75,2017,10899.05,0,0,0,0.0,0,0,0,0,0,0,0,44,26,261,1,0,0,0,0,0.0,0.0,58.1,0,58.1
735,22029,229,1,22,2010,H,WR,75,2017,10884.08333,0,0,0,0.0,0,0,0,0,0,0,0,52,32,390,2,0,0,0,0,0.0,0.0,83.0,0,83.0
740,9921,183,3,92,2012,A,WR,70,2017,10194.15,0,0,0,0.0,0,0,0,0,0,0,0,33,14,296,2,0,0,0,0,0.0,0.0,55.6,0,55.6
741,9921,183,3,92,2012,H,WR,70,2017,10200.29167,0,0,0,0.0,0,0,0,0,0,0,0,41,24,444,1,0,0,0,0,0.0,0.0,74.4,0,74.4
763,9161,200,6,176,2011,A,WR,70,2017,10963.08333,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,83,0,1,0,0.0,0.0,0.0,0,0.0
764,9161,200,6,176,2011,H,WR,70,2017,10969.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,105,0,47,0,0.0,0.0,0.0,0,0.0
765,4208,194,0,0,0,A,WR,73,2017,8948.666667,0,0,0,0.0,0,0,0,0,0,0,0,25,9,132,0,0,0,0,0,0.0,0.0,22.2,0,22.2
766,4208,194,0,0,0,H,WR,73,2017,8944.0,0,0,0,0.0,0,0,0,0,0,0,0,22,10,141,0,26,0,0,0,0.0,0.0,24.1,0,24.1
775,5871,170,3,84,2008,A,WR,71,2017,12124.25,0,0,0,0.0,0,0,0,0,0,0,0,3,1,8,0,0,0,0,0,0.0,0.0,1.8,0,1.8
780,4993,225,1,11,2006,A,QB,75,2017,12582.5,91,147,814,82.8,6,3,5,30,5,6,0,0,0,0,0,0,0,0,0,57.56,0.6,0.0,0,58.16
781,4993,225,1,11,2006,H,QB,75,2017,12595.9,84,124,788,83.88,7,6,8,65,5,14,0,0,0,0,0,0,0,0,0,53.52,1.4,0.0,0,54.92
784,12638,248,0,0,0,H,TE,76,2017,9249.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
795,8031,186,0,0,0,A,WR,71,2017,10678.08333,0,0,0,0.0,0,0,0,0,0,0,0,6,4,49,0,26,0,0,0,0.0,0.0,8.9,0,8.9
796,8031,186,0,0,0,H,WR,71,2017,10677.0,0,0,0,0.0,0,0,0,0,0,0,0,3,1,21,0,0,0,0,0,0.0,0.0,3.1,0,3.1
807,22910,200,2,56,2011,A,RB,70,2017,10453.5,0,0,0,0.0,0,0,0,0,15,52,0,20,17,116,0,63,0,0,0,0.0,5.2,28.6,0,33.8
808,22910,200,2,56,2011,H,RB,70,2017,10459.8,0,1,0,0.0,0,1,0,0,15,63,0,19,16,85,0,89,0,0,0,-2.0,6.3,24.5,0,28.8
823,20837,195,0,0,0,A,WR,71,2017,9164.25,0,0,0,0.0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0.0,0.0,1.9,0,1.9
824,20837,195,0,0,0,H,WR,71,2017,9146.6875,0,0,0,0.0,0,0,0,0,0,0,0,5,2,23,0,18,0,0,0,0.0,0.0,4.3,0,4.3
829,10947,230,6,176,2016,A,RB,73,2017,8923.8,0,0,0,0.0,0,0,0,0,3,9,0,3,2,14,0,0,0,0,0,0.0,0.9,3.4,0,4.3
830,10947,230,6,176,2016,H,RB,73,2017,8908.833333,0,0,0,0.0,0,0,0,0,1,3,0,1,0,0,0,10,0,0,0,0.0,0.3,0.0,0,0.3
831,3536,218,7,249,2017,A,RB,72,2017,8401.625,0,0,0,0.0,0,0,0,0,17,73,0,3,3,28,1,0,0,0,0,0.0,7.3,11.8,0,19.1
832,3536,218,7,249,2017,H,RB,72,2017,8408.75,0,0,0,0.0,0,0,0,0,32,135,0,5,4,31,0,0,0,0,0,0.0,13.5,7.1,0,20.6
837,7901,208,5,164,2013,A,RB,71,2017,9831.833333,0,0,0,0.0,0,0,0,0,40,165,1,0,0,0,0,0,0,0,0,0.0,22.5,0.0,0,22.5
838,7901,208,5,164,2013,H,RB,71,2017,9834.1,0,0,0,0.0,0,0,0,0,58,190,3,0,0,0,0,0,0,0,0,0.0,37.0,0.0,0,37.0
844,21291,235,1,13,2008,A,RB,71,2017,11166.66667,0,0,0,0.0,0,0,0,0,90,262,2,6,5,40,1,0,0,0,0,0.0,38.2,15.0,0,53.2
845,21291,235,1,13,2008,H,RB,71,2017,11165.1,0,0,0,0.0,0,0,0,0,63,224,0,5,1,4,0,0,0,0,0,0.0,22.4,1.4,0,23.8
846,15531,197,0,0,0,A,RB,70,2017,8788.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
847,15531,197,0,0,0,H,RB,70,2017,8777.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
850,9207,200,0,0,0,A,WR,75,2017,9139.25,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
851,9207,200,0,0,0,H,WR,75,2017,9137.75,0,0,0,0.0,0,0,0,0,0,0,0,5,4,62,1,24,0,0,0,0.0,0.0,16.2,0,16.2
856,13917,240,3,74,2011,A,QB,78,2017,10703.25,6,9,36,111.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0.0,0.0,0,7.44
857,13917,240,3,74,2011,H,QB,78,2017,10735.25,3,7,20,89.9,1,0,0,0,4,-3,0,0,0,0,0,0,0,0,0,6.8,-0.3,0.0,0,6.5
862,8145,207,1,15,2015,A,RB,73,2017,8957.666667,0,0,0,0.0,0,0,0,0,114,466,2,39,29,195,4,0,0,0,0,0.0,58.6,72.5,0,131.1
863,8145,207,1,15,2015,H,RB,73,2017,8946.8,0,0,0,0.0,0,0,0,0,74,232,3,19,9,78,0,0,0,0,0,0.0,41.2,16.8,0,58.0
866,23397,255,1,32,2004,A,TE,75,2017,13450.0,0,0,0,0.0,0,0,0,0,0,0,0,24,18,126,1,0,0,0,0,0.0,0.0,36.6,0,36.6
867,23397,255,1,32,2004,H,TE,75,2017,13452.4,0,0,0,0.0,0,0,0,0,0,0,0,29,24,197,1,0,0,0,0,0.0,0.0,49.7,0,49.7
870,19532,253,5,174,2017,A,TE,77,2017,8571.416667,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
871,19532,253,5,174,2017,H,TE,77,2017,8573.35,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
874,22494,221,1,23,2016,A,WR,74,2017,8167.9,0,0,0,0.0,0,0,0,0,0,0,0,11,4,54,0,0,0,0,0,0.0,0.0,9.4,0,9.4
875,22494,221,1,23,2016,H,WR,74,2017,8154.0,0,0,0,0.0,0,0,0,0,0,0,0,14,10,98,0,0,0,0,0,0.0,0.0,19.8,0,19.8
884,23774,204,4,130,2014,A,RB,69,2017,9390.25,0,0,0,0.0,0,0,0,0,14,57,0,28,22,175,1,0,0,0,0,0.0,5.7,45.5,0,51.2
885,23774,204,4,130,2014,H,RB,69,2017,9383.583333,0,0,0,0.0,0,0,0,0,24,96,0,31,25,203,1,0,0,0,0,0.0,9.6,51.3,0,60.9
