,player_id,weight,draft_round,draft_position,draft_year,game_location,position_cleaned,height_inches,year,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
3361,14314,212,7,227,2012,H,WR,72,2017,10228.7,0,0,0,0.0,0,0,0,0,0,0,0,37,24,347,2,0,0,0,0,0.0,0.0,70.7,0,70.7
3362,22486,255,0,0,0,A,TE,75,2017,8850.0,0,0,0,0.0,0,0,0,0,0,0,0,4,1,34,0,0,0,0,0,0.0,0.0,4.4,0,4.4
3363,22486,255,0,0,0,H,TE,75,2017,8843.0,0,0,0,0.0,0,0,0,0,0,0,0,5,4,36,0,0,0,0,0,0.0,0.0,7.6,0,7.6
3368,13473,181,3,69,2015,A,WR,70,2017,9150.0,0,0,0,0.0,0,0,0,0,5,24,0,20,11,109,0,219,0,109,0,0.0,2.4,21.9,0,24.3
3369,13473,181,3,69,2015,H,WR,70,2017,9154.0,0,0,0,0.0,0,0,0,0,3,22,0,35,22,299,0,324,0,55,0,0.0,2.2,51.9,0,54.1
3376,10523,196,2,34,2013,A,WR,76,2017,9644.5,0,0,0,0.0,0,0,0,0,0,0,0,5,2,12,0,0,0,0,0,0.0,0.0,3.2,0,3.2
3377,10523,196,2,34,2013,H,WR,76,2017,9662.0,0,0,0,0.0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,0,0.0,0.0,1.6,0,1.6
3380,13753,244,1,26,2016,A,QB,79,2017,8687.75,9,14,41,38.4,0,1,4,23,2,17,0,0,0,0,0,0,0,0,0,-4.36,1.7,0.0,0,-2.66
3388,7063,220,1,13,2012,A,WR,75,2017,10199.41667,0,0,0,0.0,0,0,0,0,0,0,0,3,3,34,0,0,0,0,0,0.0,0.0,6.4,0,6.4
3389,7063,220,1,13,2012,H,WR,75,2017,10201.25,0,0,0,0.0,0,0,0,0,0,0,0,5,3,21,0,0,0,0,0,0.0,0.0,5.1,0,5.1
3394,13822,200,1,19,2009,A,WR,72,2017,10747.85,0,0,0,0.0,0,0,0,0,0,0,0,31,21,239,1,0,0,0,0,0.0,0.0,50.9,0,50.9
3395,13822,200,1,19,2009,H,WR,72,2017,10752.25,0,0,0,0.0,0,0,0,0,0,0,0,21,11,111,2,0,0,0,0,0.0,0.0,34.1,0,34.1
3400,10701,222,0,0,0,A,RB,72,2017,10803.91667,0,0,0,0.0,0,0,0,0,50,172,1,5,2,13,0,0,0,0,0,0.0,23.2,3.3,0,26.5
3401,10701,222,0,0,0,H,RB,72,2017,10799.25,0,0,0,0.0,0,0,0,0,35,108,0,22,18,159,1,0,0,0,0,0.0,10.8,39.9,0,50.7
3404,23419,240,0,0,0,A,RB,73,2017,8815.333333,0,0,0,0.0,0,0,0,0,3,7,0,0,0,0,0,78,0,0,0,0.0,0.7,0.0,0,0.7
3405,23419,240,0,0,0,H,RB,73,2017,8821.0,0,0,0,0.0,0,0,0,0,2,1,0,0,0,0,0,62,0,0,0,0.0,0.1,0.0,0,0.1
